"","type","pct","crime","crimes_count"
"73","misdemeanor_offenses","9","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",26
"74","misdemeanor_offenses","9","MISDEMEANOR SEX CRIMES (4)",33
"75","misdemeanor_offenses","9","MISDEMEANOR DANGEROUS DRUGS  (1)",553
"76","misdemeanor_offenses","9","MISDEMEANOR DANGEROUS WEAPONS (5)               ",52
"77","misdemeanor_offenses","9","PETIT LARCENY                         ",1281
"78","misdemeanor_offenses","9","ASSAULT 3 AND RELATED OFFENSES        ",436
"79","misdemeanor_offenses","9","INTOXICATED & IMPAIRED DRIVING              ",22
"80","misdemeanor_offenses","9","VEHICLE AND TRAFFIC LAWS              ",41
"81","misdemeanor_offenses","9","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",408
"82","misdemeanor_offenses","9","CRIMINAL TRESPASS",246
"83","misdemeanor_offenses","9","UNAUTHORIZED USE OF A VEHICLE           ",3
"84","misdemeanor_offenses","9","OFFENSES AGAINST THE PERSON (7)      ",17
"85","misdemeanor_offenses","9","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",110
"86","misdemeanor_offenses","9","ADMINISTRATIVE CODE (6)            ",1
"87","misdemeanor_offenses","9","FRAUDS (3)                    ",47
"88","misdemeanor_offenses","9","AGGRAVATED HARASSMENT 2               ",193
"89","misdemeanor_offenses","9","OTHER MISDEMEANORS (8)",496
"91","misdemeanor_offenses","10","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",9
"92","misdemeanor_offenses","10","MISDEMEANOR SEX CRIMES (4)",29
"93","misdemeanor_offenses","10","MISDEMEANOR DANGEROUS DRUGS  (1)",349
"94","misdemeanor_offenses","10","MISDEMEANOR DANGEROUS WEAPONS (5)               ",20
"95","misdemeanor_offenses","10","PETIT LARCENY                         ",729
"96","misdemeanor_offenses","10","ASSAULT 3 AND RELATED OFFENSES        ",307
"97","misdemeanor_offenses","10","INTOXICATED & IMPAIRED DRIVING              ",28
"98","misdemeanor_offenses","10","VEHICLE AND TRAFFIC LAWS              ",48
"99","misdemeanor_offenses","10","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",245
"100","misdemeanor_offenses","10","CRIMINAL TRESPASS",69
