"","xcoord","ycoord","pforce"
"2",1007034,236608,1
"3",1013901,238905,2
"4",1025070,244539,1
"5",1032532,247487,1
"6",1023309,252693,1
"8",1022923,264534,1
"9",1024530,266641,1
"10",1025485,268872,1
