"","pct","xcoord","ycoord","pforce"
"2114",47,1028031,262712,0
"2115",47,1026541,262718,2
"2116",47,1022835,262759,2
"2117",47,1030898,262777,0
"2118",47,1028006,262797,0
"2119",50,1009829,262808,0
"2120",47,1021929,262836,1
"2121",47,1027275,262862,0
"2122",47,1024017,262867,0
"2123",47,1027326,262872,0
"2124",50,1009799,262887,0
"2125",47,1030611,262929,2
"2126",47,1027627,262933,0
"2127",47,1023842,262943,0
"2128",47,1027949,263005,2
"2129",47,1022937,263018,1
"2130",47,1028198,263042,1
"2131",47,1022956,263056,1
"2132",47,1028980,263076,1
"2133",47,1022037,263092,0
"2134",47,1023472,263095,1
"2135",47,1027115,263151,1
"2136",47,1022567,263169,0
"2137",47,1023290,263172,0
"2138",47,1023951,263200,0
"2139",47,1023199,263210,1
"2140",47,1023047,263277,0
"2141",47,1028649,263292,0
"2142",50,1012345,263323,1
"2143",47,1024959,263383,1
"2144",50,1008332,263449,0
"2145",47,1024057,263457,0
"2146",47,1023152,263533,0
"2147",47,1027767,263627,0
"2148",47,1028007,263698,2
"2149",47,1027202,263734,1
"2150",50,1007988,263855,0
"2151",47,1025175,263899,1
"2152",47,1022116,263965,0
"2153",47,1024267,263976,0
"2154",47,1022463,264124,1
"2155",47,1023090,264164,1
"2156",50,1008523,264183,0
"2157",47,1028387,264188,1
"2158",47,1024102,264344,0
"2159",50,1008581,264357,0
"2160",47,1025921,264524,2
"2161",47,1022923,264534,1
"2162",47,1023684,264797,0
"2163",47,1023213,264991,0
"2164",47,1022884,265132,1
"2165",47,1024381,265139,1
"2166",50,1009120,265157,0
"2167",47,1021972,265517,1
"2168",47,1018222,265545,1
"2169",50,1012477,265627,0
"2170",47,1021596,265653,0
"2171",50,1012807,265661,0
"2172",47,1026828,265933,2
"2173",47,1027073,266004,2
"2174",47,1021001,266076,1
"2175",47,1027332,266080,1
"2176",47,1028043,266287,1
"2177",47,1025380,266521,0
"2178",47,1026919,266544,1
"2179",47,1025582,266579,3
"2180",47,1024530,266641,4
"2181",47,1023326,266681,1
"2182",47,1023908,266726,1
"2183",47,1024229,266796,2
"2184",47,1027060,267011,1
"2185",47,1023783,267024,1
"2186",50,1012689,267071,0
"2187",47,1027526,267147,2
"2188",47,1021510,267159,2
"2189",47,1024887,267203,1
"2190",47,1023332,267253,1
"2191",47,1023783,267503,1
"2192",47,1026624,267514,1
"2193",47,1026891,267592,0
"2194",47,1024155,267642,1
"2195",47,1027599,267686,0
"2196",47,1026563,267763,0
"2197",47,1024834,267794,3
"2198",47,1026968,267880,4
"2199",47,1025287,267952,1
"2200",47,1027468,268025,0
"2201",47,1027985,268176,0
"2202",47,1028198,268238,0
"2203",47,1024763,268265,0
"2204",47,1026825,268362,1
"2205",47,1026269,268394,1
"2206",47,1027075,268434,0
"2207",47,1025621,268476,5
"2208",47,1025333,268625,1
"2209",50,1010797,268640,0
"2210",47,1028096,268726,0
"2211",47,1026318,268868,0
"2212",47,1025485,268872,1
"2213",50,1010146,268893,0
"2214",47,1027085,268915,2
"2215",47,1024564,269092,2
"2216",47,1026402,269112,1
"2217",50,1011694,269180,0
"2218",47,1025882,269298,1
"2219",47,1026202,269448,2
"2220",50,1012582,269489,2
"2221",50,1011295,269581,0
"2222",47,1026019,269581,0
"2223",50,1012846,269924,2
"2224",50,1012377,269947,1
"2225",50,1012081,270023,0
"2226",50,1011381,270157,0
"2227",50,1010876,270261,0
"2228",50,1012832,270697,0
"2229",50,1011504,270764,0
"2230",50,1012272,270794,0
"2231",50,1012414,271485,0
