"","xcoord","ycoord","pforce"
"961",1015853,255202,1
"962",1022920,255248,1
"963",1020423,255276,1
"964",1020422,255304,1
"965",1022019,255478,1
"966",1012067,255486,2
"967",1013845,255488,3
"968",1014934,255507,1
"969",1020679,255508,2
"970",1020070,255522,2
"971",1011614,255632,1
"972",1016387,255639,2
"973",1020070,255661,1
"974",1013301,255804,1
"975",1011268,255820,1
"976",1014058,255845,1
"977",1020964,255891,2
"978",1016781,255955,1
"979",1032798,255966,1
"980",1031599,256023,1
"981",1024974,256073,2
"982",1023632,256105,1
"983",1013560,256165,1
"984",1024466,256225,1
"985",1024460,256247,1
"986",1027071,256249,1
"987",1013945,256276,1
"988",1025748,256288,2
"989",1014403,256319,1
"990",1026959,256328,2
"991",1011740,256343,1
"992",1015459,256345,1
"993",1020976,256373,1
"994",1029573,256473,1
"995",1014225,256575,1
"996",1018231,256615,1
"997",1018316,256674,3
"998",1025137,256699,2
"999",1024640,256710,3
"1000",1026280,256783,1
"1001",1021529,256784,1
"1002",1021309,256791,1
"1003",1020048,256819,1
"1004",1011283,257004,1
"1005",1025592,257115,1
"1006",1017973,257159,1
"1007",1017085,257207,1
"1008",1010613,257211,1
"1009",1015477,257492,1
"1010",1029431,257556,2
"1011",1017650,257603,1
"1012",1022178,257672,1
"1013",1024965,257717,2
"1014",1015558,257727,1
"1015",1017634,257744,1
"1016",1021014,257846,1
"1017",1025137,257892,1
"1018",1025162,257918,1
"1019",1027084,257998,1
"1020",1029792,258031,1
"1021",1015334,258069,1
"1022",1009366,258080,1
"1023",1021418,258099,2
"1024",1021324,258111,1
"1025",1021019,258157,1
"1026",1020811,258203,2
"1027",1020419,258211,1
"1028",1010735,258323,1
"1029",1021072,258544,1
"1030",1017669,258649,1
"1031",1018391,258671,1
"1032",1018643,258683,2
"1033",1017510,258766,2
"1034",1025255,258770,3
"1035",1029009,258817,1
"1036",1026987,258957,1
"1037",1031792,258969,1
"1038",1025246,258998,2
"1039",1021743,259013,1
"1040",1026662,259028,1
"1041",1023166,259089,2
"1042",1025477,259153,1
"1043",1007069,259193,1
"1044",1027301,259296,1
"1045",1025348,259365,1
"1046",1021380,259391,1
"1047",1024880,259406,2
"1048",1025880,259416,2
"1049",1012010,259448,1
"1050",1010580,259508,1
"1051",1018074,259543,2
"1052",1027599,259600,1
"1053",1022527,259623,1
"1054",1026683,259645,1
"1055",1018242,259664,2
"1056",1032524,259709,2
"1057",1021973,259718,1
"1058",1012052,259739,2
"1059",1017713,259756,5
"1060",1025086,259804,2
"1061",1016145,259815,1
"1062",1022555,259849,1
"1063",1008539,259911,1
"1064",1022066,260003,2
"1065",1023563,260040,1
"1066",1032117,260155,1
"1067",1016476,260192,1
"1068",1017932,260254,1
"1069",1022992,260281,1
"1070",1023670,260297,1
"1071",1032047,260313,1
"1072",1021874,260446,1
"1073",1025423,260470,1
"1074",1011122,260515,1
"1075",1023777,260554,2
"1076",1021485,260564,1
"1077",1022227,260595,1
"1078",1021971,260705,1
"1079",1011281,260827,4
"1080",1025631,260879,1
"1081",1022979,260887,4
"1082",1024831,261020,1
"1083",1026681,261058,1
"1084",1016550,261104,1
"1085",1026533,261139,1
"1086",1026430,261196,1
"1087",1025801,261217,1
"1088",1022187,261218,4
"1089",1026385,261221,1
"1090",1023463,261291,2
"1091",1026697,261377,1
"1092",1026040,261410,3
"1093",1026413,261527,2
"1094",1022782,261576,1
"1095",1022757,261580,2
"1096",1022655,261622,1
"1097",1032194,261627,2
"1098",1026075,261750,1
"1099",1011722,261759,1
"1100",1026947,261773,1
"1101",1017607,261810,1
"1102",1021234,261812,3
"1103",1026815,261916,4
"1104",1026834,261958,1
"1105",1027383,261982,6
"1106",1022508,261990,1
"1107",1024422,262096,1
"1108",1031838,262101,1
"1109",1027154,262130,1
"1110",1027164,262131,1
"1111",1025062,262134,2
"1112",1026274,262148,1
"1113",1027094,262171,1
"1114",1023518,262173,1
"1115",1026305,262216,2
"1116",1027007,262220,7
"1117",1026927,262254,1
"1118",1026897,262273,3
"1119",1026815,262308,1
"1120",1021715,262322,1
"1121",1026555,262417,1
