"","xcoord","ycoord","pforce","rf_furt","rf_bulg","rf_knowl","rf_verbl","rf_rfcmp","rf_vcact","rf_attir","rf_othsw","rf_vcrim"
"452",1012519,238408,2,1,0,0,0,0,0,0,0,1
"454",1015458,238417,1,1,1,0,0,0,0,0,0,2
"455",1016836,238430,1,0,0,1,0,0,0,0,0,1
"456",1012223,238431,1,0,0,1,0,0,0,0,0,2
"458",1014247,238457,1,2,0,0,0,1,0,0,0,3
"459",1012785,238467,2,0,0,0,0,1,0,0,0,0
"461",1009185,238490,1,1,1,0,0,0,0,0,1,0
"462",1021357,238494,4,0,0,0,0,1,0,0,4,0
"468",1012792,238528,1,0,0,0,0,0,0,0,1,0
"470",1006928,238560,4,2,0,0,0,0,0,0,3,0
"471",1021308,238560,2,0,0,0,0,1,0,0,1,0
"472",1016185,238561,5,0,0,0,0,0,0,0,0,5
"474",1010447,238582,4,0,0,0,0,0,0,1,4,0
"475",1025282,238585,2,2,0,0,0,0,0,0,1,0
"476",1006866,238587,1,0,0,0,0,0,0,1,2,1
"478",1014233,238591,2,2,0,0,0,0,0,0,2,0
"479",1014621,238595,2,0,0,0,0,1,1,0,1,2
"482",1010361,238606,1,0,0,0,0,0,0,0,1,0
"484",1006750,238621,4,1,1,0,0,0,0,0,5,0
"487",1011706,238632,1,1,0,0,0,0,0,0,1,0
"488",1013067,238633,1,0,0,0,0,0,0,0,1,0
"489",1007726,238645,3,3,1,0,0,0,4,0,3,1
"490",1012562,238650,1,1,0,0,0,1,0,0,1,0
"491",1006663,238657,1,2,0,0,0,1,0,1,2,0
"492",1006640,238659,2,0,0,0,0,0,0,0,3,0
"495",1013073,238686,1,3,0,0,0,0,0,0,0,2
"497",1014615,238697,1,0,1,0,0,1,0,0,0,1
"498",1022145,238701,1,0,0,0,0,0,0,0,1,0
"499",1006528,238704,2,4,0,1,0,0,0,0,1,0
"500",1033797,238707,1,0,0,0,0,0,0,0,0,1
"501",1006494,238716,1,0,0,0,0,0,0,0,1,0
"502",1010961,238721,4,1,1,0,0,0,0,0,4,0
"503",1012653,238722,1,0,0,0,0,0,0,0,0,0
"504",1007197,238731,9,4,0,2,0,0,1,1,5,6
"505",1032210,238735,3,1,1,0,0,1,0,0,1,1
"507",1014605,238742,6,0,0,0,0,0,1,0,5,5
"509",1013903,238747,1,1,0,0,0,0,0,0,0,0
"510",1015129,238749,2,0,0,3,0,0,0,2,5,0
"512",1012225,238755,1,0,0,0,0,0,0,0,0,1
"513",1033946,238773,1,0,0,0,0,0,1,1,0,0
"518",1012791,238814,4,1,0,0,2,0,0,0,0,1
"520",1007244,238841,1,0,1,0,0,0,0,0,0,0
"523",1025658,238893,2,0,0,0,2,2,2,0,0,0
"524",1013901,238905,2,0,0,0,0,0,0,0,0,2
"525",1006451,238923,7,3,0,0,0,1,2,0,1,1
"527",1004478,238929,1,3,0,0,0,1,0,0,0,0
"528",1007280,238934,1,0,0,0,1,0,0,0,2,2
"531",1008390,239003,1,0,1,0,0,0,0,0,0,0
"533",1014209,239017,1,0,0,0,0,0,1,0,0,1
"535",1006566,239029,1,1,0,0,0,0,0,0,0,0
"538",1008753,239042,1,0,0,0,0,0,0,1,0,0
"541",1033560,239065,1,1,0,1,0,0,1,0,0,1
"542",1007341,239067,1,1,0,0,0,0,0,0,0,0
"543",1010896,239083,2,0,0,0,0,1,0,0,4,1
"544",1006650,239092,3,4,0,0,0,2,1,1,4,0
"546",1022071,239100,1,0,0,0,0,0,1,0,0,1
"547",1010796,239108,1,1,0,0,0,0,0,0,0,0
"548",1032801,239119,1,0,0,1,0,0,0,0,1,0
"550",1010687,239143,2,1,0,0,0,0,0,0,0,0
"551",1020849,239143,1,0,0,0,0,0,0,0,0,0
"552",1014199,239165,4,2,0,0,0,1,0,1,1,1
"554",1021003,239176,1,1,0,0,0,1,1,0,0,0
"555",1014378,239180,2,0,0,0,0,0,0,0,0,2
"556",1004319,239189,1,1,2,0,0,0,0,0,0,0
"558",1006999,239205,7,2,0,1,0,0,0,1,6,0
"560",1014837,239207,1,0,0,0,0,0,0,0,1,0
"564",1011115,239221,1,0,0,0,0,0,0,0,1,0
"567",1021341,239232,1,0,0,0,0,0,0,0,0,0
"569",1015356,239242,1,1,0,0,0,0,0,0,1,0
"570",1012117,239245,4,0,0,0,0,0,0,0,0,4
"572",1010340,239255,1,0,0,0,0,0,0,0,0,1
"573",1021492,239265,1,0,0,0,0,0,0,0,2,0
"576",1021726,239300,2,1,0,0,0,0,0,0,3,2
"577",1011916,239310,1,0,0,2,0,0,0,0,0,1
"579",1013539,239322,1,1,0,0,0,0,0,0,0,0
"580",1021828,239324,1,0,0,0,0,0,0,0,1,0
"581",1012239,239328,1,0,0,0,0,0,0,0,1,0
"583",1004379,239331,1,1,0,0,0,0,0,0,0,0
"585",1010059,239344,2,2,0,0,0,2,2,0,1,0
"587",1012798,239356,1,0,0,0,0,0,0,0,0,0
"588",1022027,239356,1,7,0,0,0,1,0,0,0,0
"593",1012796,239444,2,0,0,0,0,0,0,0,2,2
"598",1004447,239483,1,0,0,0,0,0,0,0,1,0
"599",1007121,239502,4,5,1,1,1,2,1,0,0,1
"600",1014172,239513,1,0,0,0,0,0,0,1,0,0
"605",1009529,239548,2,1,0,0,0,0,0,1,0,0
"606",1013879,239551,2,0,0,0,0,1,0,1,1,1
"607",1007185,239556,3,2,1,1,1,2,0,0,0,1
"609",1023332,239590,1,0,0,1,0,0,0,0,0,0
"612",1014552,239614,2,0,0,0,0,0,0,0,0,2
"614",1014021,239643,1,0,0,0,0,0,0,0,1,0
"615",1014169,239654,3,2,2,1,0,2,0,0,1,0
"616",1012522,239685,2,1,1,0,0,0,0,0,0,2
"617",1013876,239696,2,0,0,0,0,0,0,0,2,0
"620",1008996,239726,1,1,0,0,0,0,0,0,1,0
"622",1014187,239755,1,1,0,0,0,0,1,0,0,0
"623",1014200,239764,1,0,0,0,0,0,0,0,1,0
"624",1014204,239767,1,0,0,0,0,0,0,0,0,1
"625",1033097,239777,2,0,0,0,0,2,0,0,0,2
"626",1018204,239783,1,0,0,0,0,0,0,0,1,0
"627",1011096,239796,1,1,0,0,0,1,0,0,0,0
"628",1011097,239802,3,0,0,0,0,1,0,0,3,0
"630",1020085,239815,1,0,1,0,0,0,0,0,0,0
"631",1020273,239846,1,0,0,0,0,0,0,0,0,1
"633",1014158,239874,1,0,0,1,0,0,1,1,1,0
"634",1010832,239885,7,0,0,0,0,0,0,0,8,0
"635",1020237,239886,1,0,0,0,0,0,0,0,0,1
"637",1020514,239891,1,0,0,0,0,0,0,0,1,0
"638",1004896,239898,1,0,0,0,0,0,1,0,0,0
"640",1020623,239909,1,0,0,0,0,0,0,0,1,0
"642",1020864,239948,2,0,0,0,0,0,0,0,2,0
"645",1009653,239975,1,1,0,0,0,1,0,0,0,0
"646",1014510,239978,1,0,0,0,0,0,0,0,1,0
"649",1014578,240021,1,1,0,0,0,0,0,0,0,0
"650",1035485,240048,1,0,0,0,0,0,0,0,1,0
"651",1025894,240049,2,2,0,0,0,2,0,0,0,0
"652",1021446,240060,1,0,0,0,0,0,0,0,1,0
"653",1020085,240085,3,2,1,0,0,0,0,0,0,0
"654",1010606,240098,1,0,0,0,0,0,0,0,1,0
"657",1014703,240114,2,2,0,1,0,1,0,0,0,0
"659",1021879,240139,1,0,0,0,0,0,0,0,0,0
"663",1015293,240212,2,0,0,0,0,0,0,0,0,2
"665",1015427,240217,1,0,1,0,0,0,0,0,0,0
"666",1005057,240220,1,1,0,0,0,0,0,0,0,1
"667",1015444,240224,1,0,1,0,0,1,0,0,0,0
"669",1017854,240245,1,0,0,0,0,0,0,0,0,1
"670",1014912,240247,2,0,0,0,0,2,0,0,0,0
"672",1004793,240258,2,2,0,0,0,0,0,1,0,0
"673",1009747,240269,1,0,0,0,0,0,0,0,1,1
"675",1018110,240290,1,1,0,0,0,0,0,0,0,1
"676",1006244,240307,1,0,0,0,0,0,0,0,0,1
"679",1011469,240320,1,1,0,0,0,1,1,0,0,0
"684",1011361,240351,4,0,0,0,0,0,0,0,5,0
"685",1007829,240358,1,0,0,0,0,0,0,2,0,2
"687",1016770,240372,1,0,0,0,0,0,0,0,0,0
"691",1011208,240399,2,0,1,0,0,0,0,0,2,0
"692",1010687,240400,1,0,0,0,0,0,0,1,0,0
"693",1009784,240404,2,0,0,0,0,0,0,0,0,2
"694",1018761,240410,1,1,0,0,0,1,0,0,0,0
"695",1011163,240416,1,0,0,0,0,0,0,0,0,1
"696",1012042,240416,1,0,0,0,0,0,0,1,0,0
"698",1020778,240430,1,0,0,0,0,0,0,0,1,0
"699",1005844,240453,4,0,4,0,0,0,0,0,0,4
"701",1015281,240459,2,0,0,0,0,0,0,0,0,2
"702",1017284,240464,1,0,0,0,0,0,0,0,0,0
"703",1019150,240476,2,0,0,0,0,0,1,0,0,0
"705",1015275,240502,1,0,0,0,0,2,0,0,0,0
"708",1014164,240519,1,1,1,0,0,0,0,0,0,1
"709",1013319,240531,1,0,0,0,0,0,0,0,0,0
"713",1012913,240553,1,0,0,0,0,0,0,0,0,0
"714",1021558,240558,1,0,0,0,0,0,0,0,1,0
"716",1019821,240595,1,1,0,1,0,0,0,0,1,0
"719",1033731,240638,2,0,0,0,0,0,0,0,1,2
"720",1020079,240641,1,0,0,0,0,0,0,0,1,1
"722",1014440,240645,1,0,0,0,0,0,1,0,0,1
"724",1005270,240674,1,0,0,0,0,0,0,0,0,0
"726",1021527,240695,2,0,0,0,0,0,0,0,0,0
"727",1020416,240701,3,0,0,0,0,0,0,0,3,0
"729",1014441,240714,2,0,0,0,0,0,0,0,0,2
"731",1020587,240732,2,0,2,0,0,0,0,0,1,1
"734",1020719,240758,1,1,0,0,0,0,0,0,0,1
"735",1020800,240769,1,0,0,0,0,0,0,0,0,0
"736",1013077,240795,1,0,0,0,0,0,0,0,0,1
"737",1021023,240809,2,0,0,0,0,0,0,0,2,0
"738",1013083,240814,1,0,0,0,0,0,0,0,0,0
"744",1004749,240880,3,0,1,0,0,0,0,0,0,0
"745",1022888,240882,1,0,0,0,0,0,0,0,0,0
"747",1006516,240907,2,2,0,0,0,0,0,0,0,0
"748",1021603,240912,3,2,1,0,0,0,0,0,0,0
"750",1021751,240942,1,0,0,0,0,1,0,0,0,0
"751",1015960,240988,4,4,0,0,0,0,0,0,0,0
"752",1025726,241003,1,0,0,0,0,0,0,0,1,0
"753",1008338,241010,1,1,1,0,0,0,0,1,2,1
"754",1014710,241016,1,1,0,0,0,0,0,0,1,0
"756",1010859,241026,3,2,0,0,0,2,0,0,0,0
"760",1006128,241071,1,0,0,0,0,0,0,1,0,1
"765",1017429,241149,1,0,0,0,0,0,0,0,0,0
"766",1012877,241159,1,0,1,0,0,0,0,0,0,0
"769",1017948,241204,1,4,1,0,0,3,0,0,0,1
"770",1007850,241218,3,4,1,1,0,0,0,0,0,3
"771",1008139,241234,1,2,0,0,0,1,0,0,0,0
"772",1018207,241234,1,1,0,0,0,0,0,0,1,0
"773",1012113,241267,1,0,0,1,0,0,0,0,1,0
"775",1007617,241317,2,2,0,0,0,0,0,0,0,2
"777",1019527,241348,1,2,0,0,0,0,0,0,3,0
"778",1025659,241359,1,1,0,0,0,1,0,0,2,0
"781",1007649,241385,2,2,0,0,0,0,0,0,0,0
"782",1019802,241397,1,1,0,0,0,0,0,0,0,0
"785",1018703,241414,1,0,0,0,0,0,0,0,0,0
"786",1007383,241421,1,1,0,1,0,0,0,0,0,1
"789",1020315,241487,1,0,0,0,0,0,0,0,0,0
"790",1009004,241514,3,3,3,0,0,0,0,3,3,0
"791",1006065,241543,1,1,0,0,0,1,0,0,1,0
"792",1018676,241545,1,0,0,1,0,0,0,0,0,0
"793",1007141,241554,3,2,2,0,0,1,0,1,0,3
"794",1008292,241571,1,1,0,0,0,0,0,0,0,1
