type,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
misdemeanor_offenses,6,PETIT LARCENY                         ,1632,1561,1436,1164,1277,1278,1397,1501,1560,1525,1453,1348,1451,1555,1290,1442
misdemeanor_offenses,6,ASSAULT 3 AND RELATED OFFENSES        ,412,379,285,263,298,288,290,311,250,295,286,334,420,353,338,374
misdemeanor_offenses,6,INTOXICATED & IMPAIRED DRIVING              ,41,31,42,28,50,63,82,116,145,257,156,48,115,189,77,28
misdemeanor_offenses,6,VEHICLE AND TRAFFIC LAWS              ,66,58,56,36,34,40,43,31,23,29,26,42,46,43,31,26
misdemeanor_offenses,6,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,384,342,340,308,228,195,293,304,338,228,272,211,255,212,216,227
misdemeanor_offenses,6,CRIMINAL TRESPASS,30,69,50,46,41,56,56,70,81,39,82,114,103,113,97,91
misdemeanor_offenses,6,UNAUTHORIZED USE OF A VEHICLE           ,5,11,5,5,4,5,7,9,9,3,2,6,4,2,7,8
misdemeanor_offenses,6,OFFENSES AGAINST THE PERSON (7)      ,6,10,5,5,2,4,6,3,7,6,4,7,8,15,12,9
misdemeanor_offenses,6,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),73,58,43,55,63,41,66,92,72,49,73,90,100,106,105,69
misdemeanor_offenses,6,ADMINISTRATIVE CODE (6)            ,6,8,4,4,3,3,3,5,6,6,0,3,0,2,2,0
misdemeanor_offenses,6,FRAUDS (3)                    ,134,140,60,77,58,56,66,59,56,47,91,123,114,74,56,35
misdemeanor_offenses,6,AGGRAVATED HARASSMENT 2               ,257,272,252,245,250,197,210,213,168,136,168,168,148,149,106,111
misdemeanor_offenses,6,OTHER MISDEMEANORS (8),864,946,746,688,728,571,479,560,575,464,599,472,561,568,658,550
misdemeanor_offenses,6,TOTAL MISDEMEANOR OFFENSES,6847,6513,5946,4452,4117,3707,4013,4605,4429,4271,4365,4285,4066,4035,3718,3397
misdemeanor_offenses,7,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,6,10,14,29,35,22,23,27,43,29,27,43,24,12,12
misdemeanor_offenses,7,MISDEMEANOR SEX CRIMES (4),22,32,25,28,33,29,28,32,32,40,21,23,21,26,19,31
misdemeanor_offenses,7,MISDEMEANOR DANGEROUS DRUGS  (1),428,426,427,510,503,488,483,530,529,740,836,752,589,406,326,423
misdemeanor_offenses,7,MISDEMEANOR DANGEROUS WEAPONS (5)               ,18,33,38,72,124,161,87,94,61,71,107,93,99,79,62,65
misdemeanor_offenses,7,PETIT LARCENY                         ,685,582,609,601,546,636,605,629,791,649,738,529,633,584,572,570
misdemeanor_offenses,7,ASSAULT 3 AND RELATED OFFENSES        ,336,340,343,371,348,362,374,468,410,383,374,389,424,431,385,380
misdemeanor_offenses,7,INTOXICATED & IMPAIRED DRIVING              ,24,30,29,38,32,33,39,119,79,65,83,95,74,70,60,44
misdemeanor_offenses,7,VEHICLE AND TRAFFIC LAWS              ,45,32,49,79,45,54,30,25,36,35,23,28,25,39,35,25
misdemeanor_offenses,7,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,373,250,324,345,312,373,382,449,579,470,437,385,376,366,441,442
misdemeanor_offenses,7,CRIMINAL TRESPASS,60,70,68,161,198,201,137,195,137,140,165,209,224,233,250,269
misdemeanor_offenses,7,UNAUTHORIZED USE OF A VEHICLE           ,4,5,6,9,10,14,4,5,3,4,2,3,4,1,2,7
